id,school_id,overall_sentiment,original_publish_time,created_at,updated_at
1,1,negative,2014-03-21T07:29:56Z,2014-03-22 21:22:56 UTC,2014-03-22 21:22:56 UTC
2,1,positive,2014-03-21T07:29:43Z,2014-03-22 21:22:56 UTC,2014-03-22 21:22:56 UTC
3,1,positive,2014-03-21T07:28:55Z,2014-03-22 21:22:56 UTC,2014-03-22 21:22:56 UTC
4,1,positive,2014-03-21T07:28:54Z,2014-03-22 21:22:57 UTC,2014-03-22 21:22:57 UTC
5,1,positive,2014-03-21T07:28:43Z,2014-03-22 21:22:57 UTC,2014-03-22 21:22:57 UTC
6,1,positive,2014-03-21T07:28:16Z,2014-03-22 21:22:57 UTC,2014-03-22 21:22:57 UTC
7,1,positive,2014-03-21T07:28:10Z,2014-03-22 21:22:58 UTC,2014-03-22 21:22:58 UTC
8,1,positive,2014-03-21T07:27:26Z,2014-03-22 21:22:58 UTC,2014-03-22 21:22:58 UTC
9,1,neutral,2014-03-21T07:27:23Z,2014-03-22 21:22:58 UTC,2014-03-22 21:22:58 UTC
10,1,negative,2014-03-21T07:27:18Z,2014-03-22 21:22:59 UTC,2014-03-22 21:22:59 UTC
11,1,positive,2014-03-21T07:26:59Z,2014-03-22 21:22:59 UTC,2014-03-22 21:22:59 UTC
12,1,neutral,2014-03-21T07:26:50Z,2014-03-22 21:22:59 UTC,2014-03-22 21:22:59 UTC
13,1,negative,2014-03-21T07:26:25Z,2014-03-22 21:22:59 UTC,2014-03-22 21:22:59 UTC
14,1,positive,2014-03-21T07:26:20Z,2014-03-22 21:23:00 UTC,2014-03-22 21:23:00 UTC
15,1,negative,2014-03-21T07:25:54Z,2014-03-22 21:23:00 UTC,2014-03-22 21:23:00 UTC
16,1,positive,2014-03-21T07:25:10Z,2014-03-22 21:23:00 UTC,2014-03-22 21:23:00 UTC
17,1,positive,2014-03-21T07:24:30Z,2014-03-22 21:23:00 UTC,2014-03-22 21:23:00 UTC
18,1,positive,2014-03-21T07:21:50Z,2014-03-22 21:23:01 UTC,2014-03-22 21:23:01 UTC
19,1,neutral,2014-03-21T07:20:50Z,2014-03-22 21:23:01 UTC,2014-03-22 21:23:01 UTC
20,1,negative,2014-03-21T07:20:02Z,2014-03-22 21:23:01 UTC,2014-03-22 21:23:01 UTC
21,1,neutral,2014-03-21T07:18:35Z,2014-03-22 21:23:02 UTC,2014-03-22 21:23:02 UTC
22,1,negative,2014-03-21T07:17:54Z,2014-03-22 21:23:02 UTC,2014-03-22 21:23:02 UTC
23,1,neutral,2014-03-21T07:17:10Z,2014-03-22 21:23:02 UTC,2014-03-22 21:23:02 UTC
24,1,neutral,2014-03-21T07:16:44Z,2014-03-22 21:23:02 UTC,2014-03-22 21:23:02 UTC
